id,name,supertype,subtypes,hp,types,evolvesFrom,attacks,weaknesses,resistances,set,rarity,nationalPokedexNumbers,tcgplayer_holofoil_low,tcgplayer_holofoil_mid,tcgplayer_holofoil_high,tcgplayer_reverseHolofoil_low,tcgplayer_reverseHolofoil_mid,tcgplayer_reverseHolofoil_high,cardmarket_averageSellPrice,cardmarket_lowPrice,cardmarket_trendPrice
dp3-1,Ampharos,Pokémon,Stage 2,130,Lightning,Flaaffy,Cluster Bolt,Fighting,Metal,Secret Wonders,Rare Holo,181,5.61,14.81,44.99,4.52,9.0,15.12,2.08,0.1,1.97
ex12-1,Aerodactyl,Pokémon,Stage 1,70,Colorless,Mysterious Fossil,"Power Blow, Speed Stroke",Lightning,Fighting,Legend Maker,Rare Holo,142,13.02,19.82,39.99,21.0,33.24,99.99,7.89,2.0,8.55
mcd19-1,Caterpie,Pokémon,Basic,50,Grass,,Surprise Attack,Fire,,McDonald's Collection 2019,,10,4.44,5.28,10.26,,,,2.25,0.02,2.09
ex7-1,Azumarill,Pokémon,Stage 1,80,Water,Marill,Water Punch,Lightning,,Team Rocket Returns,Rare Holo,184,13.17,17.99,29.99,17.99,26.73,51.98,1.86,1.0,4.5
sm9-1,Celebi & Venusaur-GX,Pokémon,"Basic, TAG TEAM, GX",270,Grass,,"Pollen Hazard, Solar Beam, Evergreen-GX",Fire,,Team Up,Rare Holo GX,"3, 251",8.99,11.14,19.99,,,,14.06,4.5,14.29
pl1-2,Blastoise,Pokémon,Stage 2,130,Water,Wartortle,"Aqua Press, Double Launcher",Lightning,,Platinum,Rare Holo,9,9.76,13.09,29.99,9.4,10.55,19.98,7.48,1.3,7.38
ex3-2,Altaria,Pokémon,Stage 1,80,Colorless,Swablu,"Dragon Dance, Dragon Song",Colorless,"Grass, Fighting",Dragon,Rare Holo,334,15.26,20.6,23.28,6.34,9.84,19.95,11.44,1.0,9.02
sm9-2,Weedle,Pokémon,Basic,40,Grass,,"Tangle Drag, Bug Bite",Fire,,Team Up,Common,13,,,,0.15,0.35,0.99,0.12,0.02,0.11
mcd19-2,Alolan Exeggutor,Pokémon,Stage 1,160,Grass,Exeggcute,Tropical Shake,Fire,,McDonald's Collection 2019,,103,1.8,3.29,8.0,,,,1.63,0.19,1.66
xy5-2,Kakuna,Pokémon,Stage 1,80,Grass,Weedle,Bug Bite,Fire,,Primal Clash,Uncommon,14,,,,0.11,0.39,8.39,0.12,0.02,0.13
sm12-1,Venusaur & Snivy-GX,Pokémon,"Basic, TAG TEAM, GX",270,Grass,,"Forest Dump, Solar Plant-GX",Fire,,Cosmic Eclipse,Rare Holo GX,"3, 495",4.66,5.9,19.99,,,,8.39,2.0,8.14
si1-1,Mew,Pokémon,Basic,30,Psychic,,Rainbow Wave,Psychic,,Southern Islands,,151,,,,70.0,87.75,149.99,43.43,23.9,75.77
sm3-1,Caterpie,Pokémon,Basic,50,Grass,,Surprise Attack,Fire,,Burning Shadows,Common,10,,,,0.05,0.25,2.0,0.06,0.02,0.09
pop7-1,Ampharos,Pokémon,Stage 2,130,Lightning,Flaaffy,Cluster Bolt,Fighting,Metal,POP Series 7,Rare,181,3.0,9.29,12.89,,,,7.45,1.89,6.94
bw1-2,Snivy,Pokémon,Basic,60,Grass,,Leaf Blade,Fire,Water,Black & White,Common,495,,,,0.99,1.31,3.14,0.15,0.02,0.15
base4-3,Chansey,Pokémon,Basic,120,Colorless,,"Scrunch, Double-edge",Fighting,Psychic,Base Set 2,Rare Holo,113,4.89,8.81,29.99,,,,7.61,3.0,7.02
hgss4-3,Celebi,Pokémon,Basic,70,Psychic,,"Future Sight, Leaf Bind",Psychic,,HS—Triumphant,Rare Holo,251,3.0,5.14,13.75,3.25,5.58,10.0,1.94,0.49,2.13
ex7-3,Dark Crobat,Pokémon,Stage 2,90,"Grass, Darkness",Dark Golbat,"Dark Drain, Skill Dive",Lightning,Fighting,Team Rocket Returns,Rare Holo,169,13.21,19.37,24.99,16.4,21.4,39.97,7.71,3.0,9.95
swsh35-2,Weedle,Pokémon,Basic,60,Grass,,Call for Family,Fire,,Champion's Path,Common,13,,,,0.05,0.24,2.0,0.05,0.01,0.09
xy2-3,Butterfree,Pokémon,Stage 2,130,Grass,Metapod,"Quiver Dance, Gust",Lightning,Fighting,Flashfire,Rare,12,,,,0.45,0.74,3.14,0.0,0.1,0.56
